Id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,Marks
9946   ,1,0,3,4,5,0,0,8,0,10,31
8491   ,1,2,0,4,0,0,7,8,0,10,32
8852   ,1,2,3,4,0,0,0,8,0,10,28
9428   ,0,2,3,4,0,6,0,8,9,0,32
10151   ,1,2,3,4,5,6,7,8,0,10,46
10127   ,1,2,3,4,5,6,7,0,9,10,47
8340   ,1,2,0,4,5,0,0,0,0,0,12
12549   ,1,2,3,4,5,6,0,8,0,10,39
8891   ,1,2,3,0,5,6,0,8,9,10,44
11441   ,1,2,3,0,5,0,0,8,0,10,29
8504   ,1,2,3,4,0,6,0,8,0,10,34
11414   ,0,2,3,0,5,6,7,8,0,10,41
8173   ,0,0,3,0,5,0,7,0,9,10,34
8210   ,1,2,3,0,0,6,7,0,0,10,29
9430   ,1,2,3,4,5,0,7,8,0,10,40
10445   ,1,2,0,4,0,0,0,8,9,10,34
8539   ,1,2,0,0,5,6,7,0,0,10,31
11420   ,1,2,3,0,0,6,7,0,9,0,28
12602   ,1,2,3,0,5,6,7,0,9,0,33
8538   ,1,2,0,4,0,6,7,8,0,10,38
9138   ,1,2,3,4,0,0,7,0,9,10,36
9465   ,1,2,3,0,0,0,7,0,0,0,13
10186   ,1,2,3,0,5,6,0,8,9,10,44
12583   ,0,0,3,0,5,6,7,0,9,10,40
9547   ,1,2,3,4,5,6,7,8,9,0,45
8832   ,0,0,0,0,5,0,0,0,0,10,15
9723   ,1,2,0,0,0,0,0,0,0,10,13
10395   ,0,2,0,4,5,0,0,0,0,0,11
12835   ,1,2,3,4,0,0,7,0,0,0,17
9629   ,1,2,0,0,0,6,0,0,0,0,9
10404   ,1,0,0,0,5,6,0,0,0,0,12
11098   ,0,0,0,0,5,0,7,0,0,0,12
10335   ,1,2,0,4,0,0,0,8,0,0,15
11366   ,1,2,0,4,5,0,7,8,9,0,36
11389   ,1,2,0,4,5,0,7,0,0,10,29
12632   ,1,0,3,4,0,6,7,8,9,0,38
8239   ,1,2,3,4,5,6,0,8,0,10,39
8895   ,0,2,3,4,5,0,0,0,9,10,33
8874   ,1,2,3,4,0,0,0,8,0,10,28
11368   ,1,2,3,4,5,6,0,8,0,0,29
9559   ,1,0,3,4,0,6,7,0,9,10,40
